ts,rg1,rg2,rg1tt,rg2tt,rg1tp,rg2tp,temp_bmx,press_bmx,temp_mcp,temp_sht,humidity_sht,si1145_vis,si1145_ir,si1145_uv,wind_spd,wind_dir,wind_gust,wind_gust_dir,heat_idx,wet_bulb_temp,wet_bulb_globe_temp,anomaly_prediction,anomaly_score,is_anomaly,risk_level,environmental_event,signals,recommended_action,priority
2026-09-01 00:00:08+00:00,0.0,0,0.0,0.0,0.4,0,15.1,852.7,15.5,15.5,88.1,261,253,0,0.1,109,0.4,0.4,15.5,14.1,11.3,1,0.1345791304363354,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 00:15:17+00:00,0.0,0,0.0,0.0,0.4,0,15.3,852.6,15.7,15.7,87.5,260,253,0,0.1,109,0.7,0.7,15.7,14.3,11.5,1,0.1514357557880531,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 00:30:27+00:00,0.0,0,0.0,0.0,0.4,0,15.5,852.5,15.8,15.9,88.0,260,253,0,0.3,109,0.9,0.9,15.8,14.5,11.6,1,0.155070273321379,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 00:45:36+00:00,0.0,0,0.0,0.0,0.4,0,15.5,852.8,15.8,15.9,88.6,260,253,0,0.6,109,1.1,1.1,15.9,14.6,11.7,1,0.1381839736237771,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 01:01:03+00:00,0.0,0,0.0,0.0,0.4,0,15.4,852.8,15.7,15.8,89.4,259,254,0,0.2,109,0.7,0.7,15.8,14.6,11.6,1,0.1492244456927843,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 01:16:12+00:00,0.0,0,0.0,0.0,0.4,0,15.3,852.9,15.6,15.7,90.0,260,253,0,0.0,109,0.2,0.2,15.7,14.5,11.5,1,0.1546572149113724,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 01:31:58+00:00,0.0,0,0.0,0.0,0.4,0,15.2,852.9,15.6,15.6,90.2,259,254,0,0.1,109,0.2,0.2,15.6,14.5,11.4,1,0.1441386288475794,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 01:47:23+00:00,0.0,0,0.0,0.0,0.4,0,15.2,852.9,15.5,15.6,90.4,260,253,0,0.0,109,0.0,0.0,15.6,14.5,11.4,1,0.1468471505529525,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 02:02:32+00:00,0.0,0,0.0,0.0,0.4,0,15.3,853.0,15.6,15.7,90.3,262,254,0,0.0,109,0.0,0.0,15.7,14.5,11.5,1,0.1501366975613383,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 02:18:32+00:00,0.0,0,0.0,0.0,0.4,0,15.2,853.0,15.6,15.6,90.3,259,253,0,0.0,109,0.0,0.0,15.6,14.5,11.4,1,0.1454352467909382,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 02:33:41+00:00,0.0,0,0.0,0.0,0.4,0,15.2,853.2,15.4,15.6,90.4,261,255,0,0.4,109,0.7,0.7,15.6,14.5,11.4,1,0.127756414391476,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 02:48:51+00:00,0.0,0,0.0,0.0,0.4,0,15.1,853.4,15.4,15.6,90.4,261,253,0,0.4,109,0.9,0.9,15.5,14.4,11.3,1,0.119010403107046,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
2026-09-01 03:04:00+00:00,0.0,0,0.0,0.0,0.4,0,15.0,853.5,15.2,15.5,90.4,259,254,0,0.7,109,1.3,1.3,15.5,14.4,11.3,1,0.0906346286420847,False,NORMAL,Normal environmental conditions,None,Continue monitoring environmental conditions.,LOW
